id,idea,source,section,kind,law,vibe,language_fit_budget,build,anti_slop,risk,sort_key,page
C-05,"Author grain, scan degradation and blown highlights into the hero photograph *before* any mark lands on it.",C02,H1 · photography brief,image,yes — the opposition is the mechanism; a clean frame under a clean grid is the corpus's weakest image,expensive · human,"Applies Layer 3's ""sharp mark against imperfect photograph"". Binds §12's real-or-generated decision either way",EASY,none,over-grained reads as a filter rather than a photograph,1,HOME
C-06,"The person enters the hero from a frame edge and is cropped by it; the sky, not the person, is the frame's centre.",C03,H1,layout,"partial — compositional, and it serves the swarm's need for open ground",expensive · minimal,"Extends §5's ""runs off top, right, bottom"". The crop must remove body, not just margin",EASY,kills the centred hero,a hard crop through a face reads as careless rather than composed,1,HOME
C-07,"Whichever B5 knockout wins, the crop removes **whole letters** at both edges, so the word is unreadable at a glance and identifiable anyway.",C03,B5,type,yes — already-assigned moment 7,expensive · minimal,"Refines moment 7. Needs the wordmark face, still OPEN (§8)",MEDIUM,none,unreadable to a visitor who has not yet looked at the nav,19,ABOUT
C-08,The swarm-bee's body axis aligns to the person's forearm and its wing spread to the open hand's finger spread.,C05,H1,image,"yes — the creature is grown from the photograph's own skeleton, the law's strongest available reading",futuristic · human,Refines moment 1. Forces the photography brief to shoot the arm at a usable angle in both crops,MEDIUM,none,"binds the render to one exact pose, so any reshoot invalidates it",1,HOME
C-09,"The bee is dense at the top and nearly all gaps at the bottom, so it reads as still assembling out of the air.",C05,H1,image,yes — a swarm resolving into one thing is the section's argument,futuristic,Refines moment 1; the assembly front travels the flight-line diagonal (§7),EASY,none,may read as a half-loaded image on a slow connection,1,HOME
C-10,"Shoot the founders closer than a headshot: freckles and skin texture intact, eyes up, available light, face running off two edges of the blob.",C06,B1 · A4,image,yes — untreated human is the constant,human · expensive,"Refines §12's ""no retouching that removes skin"". Blob-crop invariant unchanged",EASY,none,a very tight crop inside an organic blob can read as an accident,13,APPROACH
C-11,"Social template: mark far left, one line centre-left, wordmark far right, all on one shared baseline over a site photograph, nothing else.",C06,LinkedIn / social (off-site),off-site,"partial — a lockup, not an effect",expensive · minimal · clean,"Off-site, so it spends no moment. Needs the OPEN wordmark face",EASY,none,off-site templates drift the moment anyone else edits one,40,TOUCHPOINT/OFF-SITE
C-12,"Let a minority of the swarm's marks sample the photograph's warm tone, so the field reads as having depth rather than as a decal.",C07,H1,image,"partial — sampled colour is derived, but the mode changes",futuristic · expensive,**CONFLICTS** with §4: overlay mode is monochrome and colour never enters the glyph. Legal only by moving H1 to conversion mode,MEDIUM,none,"conversion mode over a person breaks ""humans are never converted into marks""",1,HOME
C-13,"The renderer walks the grid diagonally, so the glyph field's own grain runs bottom-left to top-right.",C07,H1 · H7,motion,yes — the direction is the mark's flight lines,technological · futuristic,Turns §7 rule 1 into a rendering rule. Costs nothing,EASY,none,a visible grain direction can read as a scan artefact,1,HOME
C-14,"Exactly one element inside the hero's mark field is left as untouched warm photograph, and nothing else is.",C08,H1,image,"yes — §4's un-effected accent, given a concrete instance",expensive · human,Applies the compositing rule; the anchor is required anyway,EASY,none,an anchor too small to find makes the treatment read as a filter,1,HOME
C-15,"Fill B5's knocked-out letterforms with mono characters, and let the descenders dissolve into the sky.",C08,B5,type,yes — the letters are cut from the photograph they sit in,futuristic · expensive,"Characters inside a knockout is arguably moment 1 a **second** time. Once is a moment, twice is a style. Founder call",MEDIUM,none,double-spends the glyph technique and weakens H1,19,ABOUT
C-16,The audit document plots the visitor's own footprint as hairline cells with word-labelled dots and one rotated axis label. No figures.,C10,free footprint audit (off-site),off-site,yes — it measures the visitor's actual field,technological · clean,"Extends §17.4's audit cover inward. Off-site, so no moment spent",MEDIUM,none,"a plot invites a figure, and one figure turns the document into a claim",40,TOUCHPOINT/OFF-SITE
C-17,"H4's blueprint rules run *past* the struck line to the card's edge, labelled in tiny mono, with the rewrite ghosted as an outline behind.",C11,H4,component,yes — a written rule catching a real line is exactly this section's argument,technological · minimal,"Refines moment 6, already assigned",EASY,none,a busy card fights the struck line's Von Restorff job,3,HOME
C-18,"The artefact card carries its own dimensions in mono, at the same size as its label, so the figure reads as a spec.",C11,H4,type,n/a — instrument texture,technological · expensive,Gives §10's numbers-as-texture rule the form it currently lacks,EASY,none,any figure on the page can be misread as a claim about the company,3,HOME
C-19,"H4 shows **two** overlapping artefact cards, the rear one cropped by the frame's right edge. Depth from overlap, no glass.",C11,H4,layout,yes — the artefact does the explaining a screenshot would,expensive · clean,Fills a real gap: Layer 4 assigns overlapping artefact cards to a role that no section currently carries,MEDIUM,none,two cards blur the single-object clarity H4 depends on,3,HOME
C-20,"Mosaic-dissolve parameters from a live precedent: tiles carry photographic fragments, not solid blocks; sizes vary; they cluster at one corner and thin outward diagonally.",C12,every photograph,image,yes — invariant,expensive · clean,"Specifies the locked edge treatment, which currently cites no source",EASY,none,tiles carrying no photographic content read as confetti,30,SITE-WIDE
C-21,"The mark's hidden cross rendered at enormous scale in uniform bone dots, cropped by the left frame edge, on H7's black ground.",C12,H7,image,"partial — derived from the mark, not from a subject; the chapter has none",futuristic · minimal,"Displaces §17.3's two corner dot fields. Re-renders the cross already assigned to the hairline grid — same shape at two scales, one argument rather than a repeat",MEDIUM,none,a giant cross reads as a plus sign or a Swiss mark unless it is unmistakably the mark's gutter,6,HOME
C-22,**Rejected:** a caption in a full-bleed ground bar abutting the photograph's foot.,"C13, C22",—,layout,"no — it needs a hard photo edge, and the invariant says every photo edge dissolves",—,"Conflicts with the edge invariant. Its only legal home is a bleed edge, which has no boundary to caption",EASY,none,"recorded so it is not reintroduced later as ""just a caption""",50,OTHER
C-23,"The founders' portraits: low angle, sky filling the top third, subject off-centre, warm hillside light, hands holding something real.",C13,B1,image,yes — untreated human,human · expensive,Confirms §1.1's world with a concrete shot list. No moment spent,EASY,none,two portraits made to one recipe can read as a stock set,16,ABOUT
C-24,"H1's accent-filled button sits at the right edge of the black ground on the deck's baseline, so the eye crosses the hand-and-swarm between promise and ask.",C15,H1,layout,n/a — layout,expensive · minimal,Competes with §17.1's comma split for the same real estate. Pick one,EASY,kills the centred hero stack,a wide horizontal gap reads as unfinished above roughly 1600px,1,HOME
C-25,"A full-bleed sky band, no words on it, as the hard cut between H8's black and H9's bone.",C15,H8 → H9 transition,image,"partial — its job is rhythm, not meaning",expensive · human,"Fills the unassigned ""section transition band"" shape in the photography invariants. Costs an **eighth** photographic surface and dilutes the seven-surface restraint",MEDIUM,none,a band with no argument is decoration by the site's own test,7,HOME
C-26,"The wordmark at enormous scale, cropped by the page's bottom edge, in **ink**, as the footer sign-off on every page.",C16,footer,type,n/a — typographic,expensive · minimal,"Must be ink, never accent: Ada's forest green is its whole footer, Beeond's pine is CTA-only. Makes B5's knockout the second giant wordmark, so one of the two must go",EASY,none,spends moment 7's surprise before B5 ever arrives,10,HOME
C-27,"H10's long exposure is panned bottom-left to top-right — the mark's flight line, so the blur is the site's one direction.",C17,H10,image,"yes — the smear is the flowers' real motion, and the direction is authored",human · expensive,"Refines moment 3, already assigned",EASY,none,a directional blur at the close can read as a transition rather than an ending,9,HOME
C-28,"Author the dissolve zone into the shot: the hero photograph must carry a dark, low-detail region on the side the words occupy.",C17,H1 · photography brief,image,yes — the photograph supplies its own boundary,expensive · clean,"De-risks §5's composition and §1.4's accent-on-ground constraint. Changes the brief, not the system",EASY,none,"if the shot misses it, the dissolve becomes a scrim, which is the thing the language forbids",1,HOME
C-29,"Light built from hard square tiles at the grid pitch — the mosaic-dissolve mask run in reverse, so light emerges from the ground by the same physics photographs dissolve into it.",C18,H7 · D2 submitted state · loading,image,"partial — derived from the system, not from a subject; the black chapters have none",futuristic · expensive · clean,"One renderer, two jobs. Displaces §17.3's corner dot fields and competes with C-21 for H7",MEDIUM,replaces gradient mesh with a legal alternative,a glow of any kind is one step from the thing the anti-slop list bans,6,HOME
C-30,"A mono eyebrow preceded by the mark in halftone-dissolve as its bullet, on every section head.",C18,all sections,component,"n/a — the mark, not an effect",technological · minimal,"The logo index warns the stripe cell smears below roughly 30px, so this needs the simplified lockup — still OPEN (§11)",EASY,none,at eyebrow size the mark becomes an unreadable smudge,30,SITE-WIDE
C-31,"Keep moment 4 unspent on the site; spend the double exposure off-site — one soft blended image, one small crisp cream mark, nothing else.",C19,confirmation email · OG / social (off-site),off-site,"partial — fusion is a mood there, not an argument",human · expensive,Leaves §3's reserve intact. C19's pastel register must never appear on the site itself,EASY,none,an off-site surface in a lighter palette starts a parallel identity,40,TOUCHPOINT/OFF-SITE
C-32,"Give the person a real, ordinary reason to be against nothing but sky — a stepladder, a fence post, a low wall.",C21,H1,image,"yes — the low angle becomes reportage, and the object gives the marks a hard edge to register against",human · expensive,Refines §5's staging. Costs nothing,EASY,none,"a prop can tip into whimsy and undercut ""expensive""",1,HOME
C-33,Binding line for the photography brief: no green anywhere near the pine accent may appear in the hero frame.,C21,H1 · photography brief,image,n/a — a constraint,expensive · clean,"Protects the one-accent invariant, which no document currently states against photography",EASY,none,"stated too late, it invalidates a completed shoot",1,HOME
C-34,"The italic falls on the phrase that could be argued with, never on the noun.","C13, C22",all headlines,type,n/a — type,expensive · human,"Refines §8's ""one italic word per headline at most"" into a rule about *which* word",EASY,none,none,50,OTHER
C-35,"The mark's stripe cell — parallel diagonals in a rounded cell — becomes the site's one ""not filled in yet"" texture.",NEW-B24,B1 credential slot · image loading · loading touchpoint,component,"yes — derived from the mark, which already owns this exact texture",technological · minimal · clean,"Spends no moment: the mark is structure, not treatment. Replaces a skeleton shimmer, which is a tell in its own right",EASY,replaces skeleton shimmer,low-contrast hatch on bone can read as a rendering artefact,16,ABOUT
C-36,"Loading: the mark in its cell, neighbouring cells hairline-empty, hatch filling in along the flight-line diagonal as progress.",NEW-B24,loading · favicon fallback,motion,yes — the mark's own cell family,technological · futuristic,"§11 already reserves LOGO-07's halftone-dissolve for loading. This is an **alternative**, not an addition — choose one",EASY,none,"the site should not need a loading state at all, and building one invites using it",40,TOUCHPOINT/OFF-SITE
C-37,**Rejected:** a cell grid of portrait tiles with role labels attached by cursors.,NEW-B24,—,image,no — it stages a team and a permission model that do not exist,—,"Violates no-testimonials, no-personas, no-interface, and A5's rule against anything interface-shaped",EASY,avatar grid · cursor labels,recorded because it is the founder's own reference and may return as a request,50,OTHER
L-01,"Display line fades to `muted` at the clause naming the discarded thing; ink returns for the clause that survives. Tone, not colour, carries emphasis.",L01 · L06 · L08 · L09 · L25,H7 · A3 phase heads,type,n/a — the law governs effects over photographs; this is typographic,minimal · expensive,"Uses the existing `muted` token. No moment spent, nothing displaced. Second emphasis mechanism beside the one italic word",EASY,none,Muted at display scale can read as disabled rather than de-emphasised,6,HOME
L-02,"H7's four rows sit above an empty fifth: ruled, labelled with nothing, at the position the Beeond row would occupy. The gap is the argument.",L19,H7,layout,"yes — derived from the section's own thesis, not applied to it",expensive · minimal,"No moment. Uses the hairline rows §4 already specifies. Displaces nothing; makes H7's ""loud by subtraction"" literal",EASY,none — it inverts the comparison-table cliché,Reads as an unfinished row unless rule weight and the empty label slot are deliberately set,6,HOME
L-03,"H10 is the same place and light as H1, later: hand gone, swarm gone, only the field and the sky. The page closes where it opened.",L16 · L20 · L22 · L19,H1 + H10,image,"yes — same world, same subject, time passed",human · expensive,"**Displaces moment 3** (motion blur) at H10, or absorbs it by blurring that same field. One shoot serves both",MEDIUM,none,Two frames too alike read as a repeat rather than a return,1,HOME
L-04,The swarm's dissolve tail reappears in H10's sky: three or four isolated marks at the sparsest density on the site. Nothing resolves.,L20 · L16,H10,image · motion,"yes — same swarm, end of its flight",futuristic · human,"**Budget conflict, stated:** a second appearance makes the glyph field a *style*, not a moment. Nothing else displaced",EASY — renderer exists,none,"Devalues the hero's uniqueness; ""once = a moment"" is the rule it spends",9,HOME
L-05,"Hero alternate: both participants cropped by the frame. A hand enters bottom-right, the swarm top-left, meeting in the empty middle. No full person.",L11 · L21 · L12 · L13,H1,image,yes,futuristic · human · expensive,"Alternate composition to §5, same concept and same moment 1. Drops the hero portrait: photographic surfaces fall from seven to six",MEDIUM,none,"Loses the face, the site's strongest humanity signal — and About then carries all of it",1,HOME
L-06,"Shoot the hero person from behind or three-quarters away, face not legible: a real person, no readable identity.",L22,H1,image,n/a — art direction,human,No change to any moment. **Directly answers the §12 risk**: a generated face that reads as a testimonial,EASY,none,A face turned away can read as evasive on a site whose claim is transparency,1,HOME
L-07,"Put the bee on the person's sightline, not only near the hand — the gaze gives the frame a vector the hand alone does not.",L02,H1,image,yes,human · expensive,Refines §5's composition. No displacement,EASY,none,Constrains the shoot: gaze and hand must agree in both crops,1,HOME
L-08,"The split headline runs top-left → bottom-right, against the mark's bottom-left → top-right flight line. Invert the split, or adopt the counter-motion deliberately.",L20 · L03,H1,type · layout,n/a,technological,"**Refines §17.1**, which proposed the split without noticing the axis conflict. A decision, not an addition",EASY,none,"Left unresolved, the hero's two strongest axes fight and neither reads as authored",1,HOME
L-09,"The ask sits at the terminus of the sentence: button under the second half of the split headline, where the eye stops.",L20,H1,layout · interaction,n/a,expensive,Refines §17.1. **Collides with L-24** — the hero's low corner cannot hold both the CTA and the instrument rail,EASY,none,Bottom-right placement stacks awkwardly at the mobile crop,1,HOME
L-10,"Mark every hairline-grid intersection with a small `+` — the mark's own hidden cross, exposed where the column rules meet.",L23,every chapter,component · layout,yes — the mark supplies the geometry,minimal · technological · expensive,No moment. Extends the hairline grid the language already exposes. Displaces nothing,EASY,none,"At density it becomes graph paper, which is a different reference's look (L18)",30,SITE-WIDE
L-11,"The cross is the list bullet: items prefixed by the mark's cross at mono size in the hairline colour, never a dot or a dash.",L25 · L23,H6 · H9 · D4 · A1,type · component,yes — mark-derived,minimal · technological,"No moment. With L-10, the cross becomes the site's one repeated small glyph",EASY,none,"A plus reads as ""add"" by UI convention; it must never sit next to anything interactive",5,HOME
L-12,"Draw hairline rules as rows of tiny marks at the mark grid's own pitch, so the rules obey the same grid as the fields.",L23,every chapter,component,yes,technological · minimal,"No moment. Refines the hairline token's rendering, not its role",EASY,none,"Dotted rules at sub-text contrast can shimmer on scroll; must stay decorative, never a border or focus ring",30,SITE-WIDE
L-13,"Park the section heading in the far-left margin, stacked in short lines, with the rows in the reading column beside it.",L16 · L17 · L23,H9 · D4 · H6 · H7,layout,n/a,expensive · minimal,"No moment. Uses the empty left column the hairline grid already exposes. The corpus's dominant list species, three independent sources",EASY,none,"Must collapse the heading above the rows at narrow widths, or the measure breaks",5,HOME
L-14,"Number the three stepped blocks with small raised mono ordinals, not display figures.",L16 · L20 · L23,H3 · A1 · A3,type,n/a,technological,Satisfies §10's numbers-as-texture rule exactly: an ordinal cannot be mistaken for a claim. No moment,EASY,none,None material,2,HOME
L-15,"Let the artefact card shed mosaic tiles at its edge, like every photograph on the site. The card dissolves into the ground rather than stopping.",L22,H4,image · component,yes — the same physics as the mark rule,expensive · futuristic,**Conflicts with an invariant**: the shape table binds the artefact card to a hard rectangle at the system radius. Founder call,MEDIUM,none,A dissolving card looks damaged rather than composed if the tile size is wrong,3,HOME
L-16,"The card crops its field hard on two edges and dissolves it on the other two, so the card reads as a window onto a larger field.",L05,H4 · D2 surface,image · layout,yes,expensive · futuristic,No moment; a compositing rule for wherever a field meets a card. Pairs with L-15,MEDIUM,none,"Needs a field large enough that the crop reads as continuation, not as a cut-off",3,HOME
L-17,"The hero swarm's mark is a directional glyph aligned to the flight line, not a round dot — the marks point where the swarm is going.",L06,H1,image,yes — bees fly; the mark's stripes *are* flight lines,futuristic · technological,"Specifies moment 1's mark shape, which §5 left open. No displacement",EASY — renderer parameter,none,Too regular and the field reads as chevron UI decoration,1,HOME
L-18,"The dot screen's mark is the mark's own cross, not a circle — so Beeond's halftone is not a generic halftone.",L10 · L23,H5 set-piece,image,yes — mark-derived,futuristic · technological · expensive,"Specifies moment 2's mark shape, which §6 left open. No displacement",EASY,none,Crosses at fine pitch flatten the tonal range circles give; the flower's opening may lose its mid-tones,4,HOME
L-19,"Type may sit in a field's dissolve tail, where ground dominates and only isolated marks remain — a stated, measured exception to ""type never on the image"".",L10,H1 · H10,type,n/a,expensive,"**Refines an invariant** rather than breaking it: the dissolve tail is ground, not image. Needs a measured contrast floor",EASY,none,Per-pixel contrast varies; without a measured floor it fails WCAG in exactly the loudest places,1,HOME
L-20,"H7's corner fields enter as stepped masses quantised to the grid, not as soft-thinning clouds — the mark's staircase, as a boundary.",L18 · L23,H7,image,"partial — compositional, the chapter has no subject",futuristic · minimal,**Refines §17.3.** The language already permits a stepped silhouette clip as the one hard boundary,EASY,none,§17.3's own honest note stands: nothing here is derived from a subject,6,HOME
L-21,"Give H7's dot field a subject: a real horizon from the site's own world, converted to marks, so the rows sit above a real place.",L23,H7,image,yes — conversion of a real photograph,futuristic · human,"Spends the dot screen a **second** time (H5 + H7): a style, not a moment. Alternative to L-20's abstraction",MEDIUM,none,A horizon in the comparison chapter can read as scenic filler under an argument,6,HOME
L-22,"Set the trust line as a caption interrupting a full-width hairline, rather than as a line of text under the button.",L08,D2,layout,n/a,minimal · expensive,No moment. The rule stays decorative and carries no information,EASY,none,None material,21,ASK
L-23,"The artefact card holds only the artefact. The written rule that killed the line sits outside it, on the ground beneath. One job per cell.",L14 · L15 · L16,H4,layout,n/a,minimal · expensive,No moment. Applies the brief's own §5 rule to the section that most tempts a caption inside the frame,EASY,none,"Separating the rule from the card can weaken the ""one artefact"" reading",3,HOME
L-24,"Pin the instrument rail to the bottom edge of the hero's black ground: local time at one end, the scroll cue at the other, nothing between.",L04 · L09,H1,component,n/a,technological · expensive,Places §10's device precisely; adds nothing. **Collides with L-09** if the CTA also sits low,EASY,none,"Two references agree on the placement, and one of them is the corner the CTA wants",1,HOME
L-25,"A full-bleed transition band between H1 and H3 where the hero's tiles scatter and settle into bone — the ground change, made visible once.",L13 · L03,H1 → H3,motion · layout,yes,futuristic · expensive,"**Conflicts with §1.5**: ground changes are hard cuts, no gradients between chapters, ever. Uses the shape table's unassigned ""section transition band""",MEDIUM,none,"Softens the one rule that makes chapters read as chapters, and it is the site's first scroll event",1,HOME
L-26,"The mark's single cell as section punctuation: small, centred above a chapter head, once per page.",L08 · L22,Approach chapter heads,type · component,n/a,minimal · human,No moment. Uses the locked mark at its smallest legible size,EASY,none,Ornament the moment it appears more than once on a page,50,OTHER
L-27,"Off-site: social templates use a total-conversion glyph landscape — a whole real scene rebuilt in marks, which the site itself never does.",L03 · L18,LinkedIn / social templates (**off-site**),off-site · image,yes — converted from a real photograph,futuristic · expensive,Spends no site moment. But it makes total conversion a known Beeond look the site then cannot use fresh,MEDIUM,none,"The off-site look outpaces the site's, and the first impression arrives off-site",40,TOUCHPOINT/OFF-SITE
L-28,"The confirmation email's only image is the mark in its halftone-dissolve construction, cropped by the top edge. Text-only fallback beneath.",L05 · L22,confirmation email,component · off-site,yes,minimal · expensive,"Uses LOGO-07, which §11 already earmarks for loading and favicon. Adjacent to §17.4's audit cover, not a replacement",EASY,none,"Mail clients strip, darken or block images; the email must read complete without it",40,TOUCHPOINT/OFF-SITE
L-29,"404 uses the instrument layer to say the address has no section: the running head shows an empty index slot. One serif line, one outlined button.",L09 · L20,404,component · type,n/a,technological · minimal,"Consistent with §11's 404 (no joke, no illustration). No moment",EASY,none,Cleverness creeping into a page whose brief says be plain,40,TOUCHPOINT/OFF-SITE
L-30,"The bee is never a rendered character. It exists only as the density peak of the mark field, and it is legible as a bee for one moment only.",L25 · L11 · L21,H1,image,yes — the swarm coordinating *is* the subject,futuristic · human · clean,"Guardrail on moment 1, not an addition. Names the failure mode the founder's ""half-bee, half-robot character"" note could land in",EASY — a decision,**avoids** the mascot tell,"If the density peak never resolves, the founder's asked-for bee is not delivered at all",1,HOME
X-01,"Hero as an asymmetric two-voice split: display block left at roughly three-fifths, deck in the second face right, top-aligned to the headline's last line. Never centred.",board-1-anthropic,H1 · A1,layout,n-a,expensive · clean,Sits under §17.1's corner split as the fallback if the split reads gimmicky; uses no moment; displaces nothing,EASY,none — it is the inverse of the centred-hero tell,Two competing hero layouts reach the founder unless one is marked the fallback,1,HOME
X-02,"Emphasise a display line by underlining a two-word phrase rather than italicising one word, at a weight heavy enough to read as editorial rather than as a link.",board-1-anthropic,"H1 or H7, once",type,n-a,expensive · human,"**Conflicts** with §8's ""one italic word per headline at most""; adopting it displaces italic emphasis for that headline",EASY,none,Two emphasis systems on one site reads as indecision; pick one and state it,1,HOME
X-03,"Antique natural-history specimens (moths, bees) arranged as an arc on a warm paper-textured plate, one serif line beneath — the audit cover and the confirmation email header.",board-1-anthropic,audit document · confirmation email,off-site,n-a,human · expensive,Extends §17.4's pressed-flower cover; the arc and the insect subject are new; nothing on-site changes,MEDIUM,none,Specimen plates are period imagery; too many and the brand reads antiquarian rather than futuristic,40,TOUCHPOINT/OFF-SITE
X-04,"The hero's sub-line is a ledger row: deck flush left, the instrument stamp (visitor-local time · ""(Scroll)"") flush right on the same baseline.",board-2-linear,H1,layout,n-a,technological · minimal,"Refines §10, which placed the stamp loosely ""in the corner""; binds it to a baseline instead",EASY,none,A right-hand element at hero scale can read as a second call to action if it is ever a link,1,HOME
X-05,"A hairline divider in the nav between the two page links and the ask, so the button is visibly a different class of thing, not a third link.",board-2-linear · board-11-resend,nav,component,n-a,clean,"Hairline used as decorative structure only, never on the control itself — inside the Layer 1 rule",EASY,none,None,0,HOME
X-06,"Author the emptiness: mark density is highest at the outer frame edges and thins toward the type, so the centre is emptied deliberately rather than left over.",board-3-family · board-9-igloo,H1 · H7,motion,yes,futuristic · minimal,"States the density gradient §17.3 implies; same renderer, no new asset",EASY,none,None,1,HOME
X-07,Decide the swarm's alphabet: many characters (the ASCII register the founder names) or one repeated glyph varied only by scale and density. One glyph reads cleaner and colder.,board-3-family · board-10-lusion · LOGO-03,H1 renderer,image,yes,futuristic · technological,"Moment 1 is written as ""characters that inherit colour"", which presumes a set; a single-glyph field is a variant of it, not a new moment",MEDIUM,none,"Unnamed, this gets decided by whoever writes the renderer rather than by the founder",1,HOME
X-08,The Approach page separates its blocks with vertical space alone — no hairline rules — and indents the reading column from the left margin instead of centring it.,board-4-emilkowal,A1 · A3,layout,n-a,minimal · human,"**Displaces** hairline rows on Approach only; Home keeps them, so the two pages read as page and document",EASY,none,Space-only separation collapses on mobile unless the scale steps are large,11,APPROACH
X-09,"Label and line as a two-tone pair at one size: label in ink, its sentence in muted, no size change and no weight change.",board-4-emilkowal,H6 · D4 · A1 contents,type,n-a,clean · minimal,Uses the existing ink and muted tokens; both measure AA or better on both grounds,EASY,none,None,5,HOME
X-10,"Motion floor: 200ms ease-out standard, 300ms ceiling, opacity as the reduced-motion fallback, and the mosaic dissolve driven by an animated clip-path rather than per-tile opacity.",board-4-emilkowal · `emilkowal-animations`,global · D2 submit,motion,n-a,clean,Implements Layer 1's asymmetric easing and §7's five rules with real numbers; contradicts nothing,MEDIUM,none,Animating a large clip-path can cost more than it saves; measure before the form dissolve ships,21,ASK
X-11,"The form's two fields as underline-only inputs — no box, no fill — the rule thickening from muted to ink on focus.",board-5-godly,D2,component,n-a,minimal · expensive,"Honours ""no borders""; **conflicts** with the Layer 1 rule that hairlines never sit on a control, so the underline must be muted or ink, never the rule token",EASY,none,An underline-only field is a known accessibility risk for field-boundary perception; needs a visible focus ring regardless,21,ASK
X-12,"Reject-if: a participation count sits under a capture form (""271 people subscribed yesterday"").",board-5-godly,D2 · footer,reject-if,n-a,—,The NEVER list bans numbers as claims; this is the exact shape it takes on a form,—,social-proof count,—,10,HOME
X-13,Alternative to the knockout close: the wordmark rendered as a dot field on true black rather than cut out of a sky photograph — no wordmark face needed.,board-6-basement · LOGO-07,B5,image,partial,futuristic · technological,Would spend moment 2 twice unless it replaces moment 7; **the wordmark face is OPEN either way** (§8),MEDIUM,none,Dots as the site's second and third appearance make dots the style rather than the moment,19,ABOUT
X-14,The scroll cue is spent once: it fades on the first scroll event and never returns for the session.,board-6-basement,H1,interaction,n-a,clean,Extends the Form & Found craft detail the language already keeps in reserve,EASY,none,None,1,HOME
X-15,"The mark's stripe cell becomes the scroll device: a short row of diagonal bars beside the running head, filling one at a time as the section index advances.",board-7-rauno · LOGO-final-black,"running head, all pages",component,yes,technological · futuristic,"Answers §2's open ""the mark as scroll-progress device""; adds a graphic to §10's index rather than a new number",MEDIUM,none,"A progress device that moves on scroll competes with rule 3, ""one thing at a time""; it must be small enough to read as an instrument",30,SITE-WIDE
X-16,"Ledger rows: the row's first term flush left, its counterpart flush right, one baseline, hairline beneath, nothing centred.",board-7-rauno · board-12-mercury,H7 · H9 · D4,layout,n-a,clean · expensive,The four hairline rows at H7 and the five Q&A rows already exist; this fixes their internal alignment,EASY,none,None,6,HOME
X-17,"A card's onward route sits as a flat full-width strip at the card's foot, no button chrome, the whole strip the target.",board-7-rauno,H4,component,n-a,clean,"H4's route to Approach is currently an underlined sentence; this is the alternative, and only one may exist",EASY,none,"A full-width strip inside a card can read as a button, which the in-body route rule forbids",3,HOME
X-18,"The instrument line sits directly above the H1, mono, muted, one line — the position Stripe gives a live metric, carrying time and index only, never a company figure.",board-8-stripe,H1,type,n-a,technological · expensive,"Refines §10's running head placement for the hero specifically; the ""never a figure"" clause is the NEVER list restated",EASY,none,One digit that could be read as a company number turns the whole device into a claim,1,HOME
X-19,"Tonal emphasis in one face: the headline's first clause in ink, the remainder in muted, no weight change and no second colour.",board-8-stripe · board-11-resend,H1 · H7 · H10,type,n-a,expensive · minimal,The clean answer to Instrument Serif having no bold; uses only existing tokens,EASY,none,"Muted measures AA, not AAA; a long muted clause at display scale needs a contrast check",1,HOME
X-20,"Corner-anchored mono caption blocks at the corners of a full-bleed image, carrying words only — never figures, never a leader line into the subject.",board-9-igloo,H1 · H10,type,n-a,technological · expensive,"Not one of the seven moments; a type behaviour, so it spends nothing",EASY,none,Four corners of text around one photograph is one step from an interface; two corners is the ceiling,1,HOME
X-21,"The survey overlay works at landscape scale, not only on a card — if it is adopted, H10's meadow is a second candidate site for it alongside H5.",board-9-igloo,H10,image,yes,technological · human,§17.2 proposes the survey layer and says taking it costs the unspent double exposure; this only adds a placement option,MEDIUM,none,Two survey placements makes it a style rather than a moment,9,HOME
X-22,"The pinned set-piece as a framed inset field: margin on all four sides, the dot field dissolving inward before it reaches the edge, so the frame is negative space, never a border.",board-10-lusion,H5,layout,yes,expensive · minimal,"Alternative to §6's full-bleed canvas; the inward dissolve keeps the edge physics, so no invariant breaks",MEDIUM,none,An inset field reads as a card if the dissolve is too tight to the edge,4,HOME
X-23,"The dark chapters are never flat: a static, very low density particle field in surface value over true black, felt rather than seen — the same particle as the hero swarm, at rest.",board-11-resend · LOGO-03,H1 · H7 · H8,image,yes,futuristic · expensive,"Cheaper alternative to §17.3's corner dot fields, and derived rather than compositional; keeps true black load-bearing because the particles sit above it, not in it",EASY,none,Below a certain density it is invisible and above it the black stops being black; one number decides both,1,HOME
X-24,"Confirmed pairing: display serif at large scale in warm off-white on true black with the grotesk deck in muted directly beneath, primary action low-contrast and small.",board-11-resend,H1 · H7,type,n-a,expensive · minimal,"Already the language's own pairing; this is evidence it holds at hero scale, not a new proposal",EASY,none,None,1,HOME
X-25,"Reject-if: an announcement or version pill sits above the headline, especially one with a gradient or iridescent border.",board-11-resend · negative-2-nexus,H1,reject-if,n-a,—,"The NEVER list bans ""coming soon"" and status statements; the pill is its visual form",—,glass / gradient pill,—,1,HOME
X-26,"A real footnote apparatus on Approach: superscript markers in the prose, notes set in mono at the foot of the page under a hairline.",board-12-mercury,A3 · A4 · A5,type,n-a,human · expensive,"Makes ""a document one person sends another"" structural rather than asserted; no image, so A5's no-rectangle rule holds",EASY,none,"Footnotes invite claims; every note must be a qualification, never a statistic",12,APPROACH
